date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:03:29	515/515	---M--	200	added ('OK')	text/plain	etag:W/%22203-w95jPv5CzI7ox6rWkmlq8FOIjbQ%22	https://cleanecotech8.wixsite.com/robots.txt		(from )
10:03:30	741382/741382	---MCZ	200	added ('OK')	text/html	etag:W/%227f4f2dea130583029d1ff02c1dd7195c%22	https://cleanecotech8.wixsite.com/safe-guard-north-woo	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/cleanecotech8.wixsite.com/safe-guard-north-woo.html	(from )
10:03:31	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:31	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:31	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:31	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Nov%202025%2010:03:31%20GMT	https://cleanecotech8.wixsite.com/c	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/cleanecotech8.wixsite.com/c.4.delayed	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:32	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Nov%202025%2010:03:32%20GMT	https://cleanecotech8.wixsite.com/t	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/cleanecotech8.wixsite.com/t.5.delayed	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:33	2509/2509	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2001%20Nov%202025%2010:03:32%20GMT	https://cleanecotech8.wixsite.com/	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/cleanecotech8.wixsite.com/index.html	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:33	2063/2063	---M--	200	added ('OK')	image/png	date:Sat,%2001%20Nov%202025%2010:03:32%20GMT	https://static.wixstatic.com/media/84770f_9298af226c7c4a908a201ec58e11bd9e~mv2.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,blur_1,enc_auto/84770f_9298af226c7c4a908a201ec58e11bd9e~mv2.png	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/static.wixstatic.com/media/84770f_9298af226c7c4a908a201ec58e11bd9e_mv2.png/v1/fill/w_63,h_63,al_c,q_85,usm_0.66_1.00_0.01,blur_1,e/84770f_9298af226c7c4a908a201ec58e11bd9e_mv2.6.del	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
10:03:34	711945/711945	---MCZ	200	added ('OK')	text/html	etag:W/%2262e46d7f789b90f27d69b36d6d32c74b%22	https://cleanecotech8.wixsite.com/safe-guard-north-woo/rat	C:/Abdul%20Rehman/SafeGuard%20Northwood/SafeGuard%20Northwood/cleanecotech8.wixsite.com/safe-guard-north-woo/rat.html	(from https://cleanecotech8.wixsite.com/safe-guard-north-woo)
